INDICE;NOME;COMENTARIO;ICONE;ALTITUDE;DATA;ANGULO;DISPLAY;ZONA;Y;X;TIPO;LOCAL;DIMENSAO;TESTE
2;2;29/6/2011;101;423,34302;30/12/1989 21:00:00;0;0;21K;7542314,028;724179,694;5;TERRENO;M;2
6;6;29/6/2011;101;451,70178;30/12/1989 21:00:00;0;0;21K;7541448,88;722724,065;1;TERRENO;EG;4
10;10;29/6/2011;101;454,58569;30/12/1989 21:00:00;0;0;21K;7541713,52;722477,527;2;TERRENO;M;2
11;11;29/6/2011;101;456,5083;30/12/1989 21:00:00;0;0;21K;7541996,078;722632,313;6;TERRENO;M;2
15;15;29/6/2011;101;448,09692;30/12/1989 21:00:00;0;0;21K;7542191,536;723042,83;2;TERRENO;M;2
16;16;29/6/2011;101;451,46143;30/12/1989 21:00:00;0;0;21K;7542350,815;723012,002;3;TERRENO;M;2
18;18;29/6/2011;101;449,05811;30/12/1989 21:00:00;0;0;21K;7542276,883;722915,728;4;TERRENO;G;3
32;32;29/6/2011;101;417,5752;30/12/1989 21:00:00;0;0;21K;7530208,159;730843,231;1;BEIRAESTRADA;EG;4
36;36;29/6/2011;101;401,23291;30/12/1989 21:00:00;0;0;21K;7536897,505;723737,332;4;BEIRAESTRADA;G;3
37;37;29/6/2011;101;376,47913;30/12/1989 21:00:00;0;0;21K;7536937,472;725115,271;2;BEIRAESTRADA;G;3
39;39;29/6/2011;101;423,10278;30/12/1989 21:00:00;0;0;21K;7542955,265;726087,841;5;TERRENO;G;3
40;40;29/6/2011;101;420,21875;30/12/1989 21:00:00;0;0;21K;7542997,602;726064,824;5;TERRENO;M;2
41;41;29/6/2011;101;420,21875;30/12/1989 21:00:00;0;0;21K;7542912,129;726109,013;5;TERRENO;M;2
43;43;29/6/2011;101;421,90112;30/12/1989 21:00:00;0;0;21K;7543418,711;725780,012;4;TERRENO;M;2
44;44;29/6/2011;101;406,03943;30/12/1989 21:00:00;0;0;21K;7542638,689;725749,877;5;CALCADA;P;1
45;45;29/6/2011;101;424,78503;30/12/1989 21:00:00;0;0;21K;7542736,027;725600,279;6;TERRENO;M;2
46;46;29/6/2011;101;421,90112;30/12/1989 21:00:00;0;0;21K;7542634,65;725566,706;2;TERRENO;M;2
